"id","sku","name","description","measure","price","mrp","on_hand","taxons","has_variants","no_of_variants","deleted_at",
1060501394,,"MTR Badam Drink-Jar ",,,122.5,125,1000,"Groceries/Beverages/Health Drinks","TRUE",1,,2
1025788110,,,,"500 gms",122.5,125,1000,,,,,2
1060501395,,"MTR Badam Drink ",,,24.5,25,0,"Groceries/Beverages/Health Drinks","TRUE",1,,2
1025788112,,,,"250 ml",24.5,25,0,,,,,2
1060501396,,"MTR Chocolate Drink ",,,21.6,22,0,"Groceries/Beverages/Health Drinks","TRUE",1,,1.818181818
1025788114,,,,"250 ml",21.6,22,0,,,,,1.818181818
1060501397,,"Kissan Squash Grapes ",,,83.3,85,0,"Groceries/Beverages/Squash","TRUE",1,,2
1025788116,,,,"700 ml",83.3,85,0,,,,,2
1060501398,,"Kissan Squash Orange",,,83.3,85,0,"Groceries/Beverages/Squash","TRUE",1,,2
1025788118,,,,"700 ml",83.3,85,0,,,,,2
1060501399,,"Choc Horlicks RTD ",,,16.7,17,0,"Groceries/Beverages/Health Drinks","TRUE",1,,1.764705882
1025788120,,,,"200 ml",16.7,17,0,,,,,1.764705882
1060501400,,"Standard Horlicks Sachet",,,4.9,5,0,"Groceries/Beverages/Health Drinks","TRUE",1,,2
1025788122,,,,"18 gms",4.9,5,0,,,,,2
1060501401,,"Standard Horlicks Pp Jar",,,240.1,245,0,"Groceries/Beverages/Health Drinks","TRUE",1,,2
1025788124,,,,"1 kg",240.1,245,0,,,,,2
1060501402,,"Standard Horlicks Jar ",,,73.5,75,1000,"Groceries/Beverages/Health Drinks","TRUE",3,,2
1025788127,,,,"200 gms",73.5,75,1000,,,,,2
1025788126,,,,"500 gms",147,150,1000,,,,,2
,,,,"1 kg",274.4,280,1000,,,,,2
1060501403,,"Standard Horlicks",,,245,250,0,"Groceries/Beverages/Health Drinks","TRUE",2,,2
1025788130,,,,"1 kg",245,250,0,,,,,2
1025788129,,,,"500 gms",132.3,135,0,,,,,2
1060501404,,"Standard Horlicks P Jar ",,,259.7,265,0,"Groceries/Beverages/Health Drinks","TRUE",1,,2
1025788132,,,,"1 kg",259.7,265,0,,,,,2
1060501405,,"Standard Horlicks Lite Bib",,,73.5,75,0,"Groceries/Beverages/Health Drinks","TRUE",1,,2
1025788134,,,,"200 gms",73.5,75,0,,,,,2
1060501406,,"Standard Horlicks Lite Pp ",,,156.8,160,0,"Groceries/Beverages/Health Drinks","TRUE",1,,2
1025788136,,,,"500 gms",156.8,160,0,,,,,2
1060501407,,"Womens Horlicks Choco",,,166.6,170,1000,"Groceries/Beverages/Health Drinks","TRUE",2,,2
1025788138,,,,"200 gms",107.8,110,0,,,,,2
,,,,"330 gms",166.6,170,1000,,,,,2
1060501408,,"Womens Horlicks Caramel",,,117.6,120,1000,"Groceries/Beverages/Health Drinks","TRUE",2,,2
1025788140,,,,"200 gms",117.6,120,1000,,,,,2
,,,,"330 gms",166.6,170,1000,,,,,2
1060501409,,"Horlicks Nutri Bar Cereal &Milk ",,,17.6,18,0,"Groceries/Beverages/Health Drinks","TRUE",1,,2.222222222
1025788142,,,,"30 gms",17.6,18,0,,,,,2.222222222
1060501410,,"Horlicks Nutri Bar Nuts & Raisns ",,,14.7,15,0,"Groceries/Beverages/Health Drinks","TRUE",1,,2
1025788144,,,,"30 gms",14.7,15,0,,,,,2
1060501411,,"Horlicks Nutri Bar Choc Crispy ",,,14.7,15,0,"Groceries/Beverages/Health Drinks","TRUE",1,,2
1025788146,,,,"30 gms",14.7,15,0,,,,,2
1060501412,,"Choc Horlicks Jar ",,,68.6,70,1000,"Groceries/Beverages/Health Drinks","TRUE",2,,2
1025788149,,,,"200 gms",68.6,70,1000,,,,,2
1025788148,,,,"500 gms",139.2,142,1000,,,,,1.971830986
1060501413,,"Choc Horlicks BIB ",,,132.3,135,0,"Groceries/Beverages/Health Drinks","TRUE",1,,2
1025788151,,,,"200 gms",132.3,135,0,,,,,2
1060501414,,"Coffe Horlicks Ready To Drink ",,,16.7,17,0,"Groceries/Beverages/Health Drinks","TRUE",1,,1.764705882
1025788153,,,,"200 ml",16.7,17,0,,,,,1.764705882
1060501415,,"Horlicks 5 IN 1 ",,,127.4,130,0,"Groceries/Beverages/Health Drinks","TRUE",1,,2
1025788155,,,,"450 gms",127.4,130,0,,,,,2
1060501416,,"Butter Scotch Horlicks Jar ",,,132.3,135,0,"Groceries/Beverages/Health Drinks","TRUE",1,,2
1025788157,,,,"500 gms",132.3,135,0,,,,,2
1060501417,,"Junior Horlicks Bib ",,,68.6,70,0,"Groceries/Beverages/Health Drinks","TRUE",1,,2
1025788159,,,,"200 gms",68.6,70,0,,,,,2
1060501418,,"Junior Horlicks P",,,147,150,1000,"Groceries/Beverages/Health Drinks","TRUE",1,,2
1025788161,,,,"500 gms",147,150,1000,,,,,2
1060501419,,"Junior Horlicks Choco Jar",,,156.8,160,1000,"Groceries/Beverages/Health Drinks","TRUE",1,,2
1025788163,,,,"500 gms",156.8,160,1000,,,,,2
1060501420,,"Kesar Horlicks Rtd ",,,16.7,17,0,"Groceries/Beverages/Health Drinks","TRUE",1,,1.764705882
1025788165,,,,"200 ml",16.7,17,0,,,,,1.764705882
1060501421,,"Mango Horlicks Rtd ",,,16.7,17,0,"Groceries/Beverages/Health Drinks","TRUE",1,,1.764705882
1025788167,,,,"200 ml",16.7,17,0,,,,,1.764705882
1060501422,,"Dabur Sharbhat -E- Azam ",,,77.4,79,0,"Groceries/Beverages/Squash","TRUE",1,,2.025316456
1025788169,,,,"700 ml",77.4,79,0,,,,,2.025316456
1060501423,,"Dabur Lemoneez ",,,39.2,40,0,"Groceries/Beverages/Squash","TRUE",1,,2
